game_id,game_date
21501159,2016-04-05
21501160,2016-04-05
21501161,2016-04-05
21501162,2016-04-05
21501163,2016-04-05
21501164,2016-04-05
21501165,2016-04-06
21501166,2016-04-06
21501167,2016-04-06
21501168,2016-04-06
21501169,2016-04-06
21501170,2016-04-06
21501171,2016-04-06
21501172,2016-04-06
21501173,2016-04-07
21501174,2016-04-07
21501175,2016-04-07
21501176,2016-04-07
21501177,2016-04-07
21501178,2016-04-08
21501179,2016-04-08
21501180,2016-04-08
21501181,2016-04-08
21501182,2016-04-08
21501183,2016-04-08
21501184,2016-04-08
21501185,2016-04-08
21501186,2016-04-08
21501187,2016-04-08
21501188,2016-04-09
21501189,2016-04-09
21501190,2016-04-09
21501191,2016-04-09
21501192,2016-04-09
21501193,2016-04-09
21501194,2016-04-10
21501195,2016-04-10
21501196,2016-04-10
21501197,2016-04-10
21501198,2016-04-10
21501199,2016-04-10
21501200,2016-04-10
21501201,2016-04-10
21501202,2016-04-10
21501203,2016-04-11
21501204,2016-04-11
21501205,2016-04-11
21501206,2016-04-11
21501207,2016-04-11
21501208,2016-04-11
21501209,2016-04-11
21501210,2016-04-11
21501211,2016-04-11
21501212,2016-04-12
21501213,2016-04-12
21501214,2016-04-12
21501215,2016-04-12
21501216,2016-04-12
21501217,2016-04-13
21501218,2016-04-13
21501219,2016-04-13
21501220,2016-04-13
21501221,2016-04-13
21501222,2016-04-13
21501223,2016-04-13
21501224,2016-04-13
21501225,2016-04-13
21501226,2016-04-13
21501227,2016-04-13
21501228,2016-04-13
21501229,2016-04-13
21501230,2016-04-13
